id,levelNumber,title,theme,category,pieces,difficulty,sourceProvider,sourceSearchUrl,localImage,licenseStatus,credit
pv-055-qutub-minar,55,Qutub Minar,World Places & Monuments,world_places,61,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Qutub%20Minar,assets/puzzle-library/world_places/pv-055-qutub-minar/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-056-ajanta-caves,56,Ajanta Caves,World Places & Monuments,world_places,62,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Ajanta%20Caves,assets/puzzle-library/world_places/pv-056-ajanta-caves/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-057-ellora-caves,57,Ellora Caves,World Places & Monuments,world_places,63,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Ellora%20Caves,assets/puzzle-library/world_places/pv-057-ellora-caves/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-058-meenakshi-temple,58,Meenakshi Temple,World Places & Monuments,world_places,64,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Meenakshi%20Temple,assets/puzzle-library/world_places/pv-058-meenakshi-temple/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-059-golden-temple,59,Golden Temple,World Places & Monuments,world_places,65,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Golden%20Temple,assets/puzzle-library/world_places/pv-059-golden-temple/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-060-gateway-of-india,60,Gateway of India,World Places & Monuments,world_places,66,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Gateway%20of%20India,assets/puzzle-library/world_places/pv-060-gateway-of-india/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-061-charminar,61,Charminar,World Places & Monuments,world_places,67,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Charminar,assets/puzzle-library/world_places/pv-061-charminar/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-062-humayun-tomb,62,Humayun Tomb,World Places & Monuments,world_places,68,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Humayun%20Tomb,assets/puzzle-library/world_places/pv-062-humayun-tomb/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-063-amber-fort,63,Amber Fort,World Places & Monuments,world_places,69,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Amber%20Fort,assets/puzzle-library/world_places/pv-063-amber-fort/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-064-mehrangarh-fort,64,Mehrangarh Fort,World Places & Monuments,world_places,70,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Mehrangarh%20Fort,assets/puzzle-library/world_places/pv-064-mehrangarh-fort/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-065-sanchi-stupa,65,Sanchi Stupa,World Places & Monuments,world_places,71,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Sanchi%20Stupa,assets/puzzle-library/world_places/pv-065-sanchi-stupa/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-066-mahabalipuram-shore-temple,66,Mahabalipuram Shore Temple,World Places & Monuments,world_places,72,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Mahabalipuram%20Shore%20Temple,assets/puzzle-library/world_places/pv-066-mahabalipuram-shore-temple/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-067-rani-ki-vav,67,Rani ki Vav,World Places & Monuments,world_places,73,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Rani%20ki%20Vav,assets/puzzle-library/world_places/pv-067-rani-ki-vav/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-068-khajuraho-temples,68,Khajuraho Temples,World Places & Monuments,world_places,74,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Khajuraho%20Temples,assets/puzzle-library/world_places/pv-068-khajuraho-temples/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-069-nalanda-ruins,69,Nalanda Ruins,World Places & Monuments,world_places,75,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Nalanda%20Ruins,assets/puzzle-library/world_places/pv-069-nalanda-ruins/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-070-brihadeeswarar-temple,70,Brihadeeswarar Temple,World Places & Monuments,world_places,76,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Brihadeeswarar%20Temple,assets/puzzle-library/world_places/pv-070-brihadeeswarar-temple/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-071-leaning-tower-of-pisa,71,Leaning Tower of Pisa,World Places & Monuments,world_places,77,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Leaning%20Tower%20of%20Pisa,assets/puzzle-library/world_places/pv-071-leaning-tower-of-pisa/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-072-sphinx-of-giza,72,Sphinx of Giza,World Places & Monuments,world_places,78,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Sphinx%20of%20Giza,assets/puzzle-library/world_places/pv-072-sphinx-of-giza/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-073-luxor-temple,73,Luxor Temple,World Places & Monuments,world_places,79,Medium,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Luxor%20Temple,assets/puzzle-library/world_places/pv-073-luxor-temple/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-074-abu-simbel,74,Abu Simbel,World Places & Monuments,world_places,80,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Abu%20Simbel,assets/puzzle-library/world_places/pv-074-abu-simbel/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-075-temple-of-heaven,75,Temple of Heaven,World Places & Monuments,world_places,82,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Temple%20of%20Heaven,assets/puzzle-library/world_places/pv-075-temple-of-heaven/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-076-terracotta-army,76,Terracotta Army,World Places & Monuments,world_places,83,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Terracotta%20Army,assets/puzzle-library/world_places/pv-076-terracotta-army/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-077-pompeii,77,Pompeii,World Places & Monuments,world_places,84,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Pompeii,assets/puzzle-library/world_places/pv-077-pompeii/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-078-tikal,78,Tikal,World Places & Monuments,world_places,85,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Tikal,assets/puzzle-library/world_places/pv-078-tikal/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-079-cappadocia,79,Cappadocia,World Places & Monuments,world_places,86,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Cappadocia,assets/puzzle-library/world_places/pv-079-cappadocia/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-080-chefchaouen,80,Chefchaouen,World Places & Monuments,world_places,87,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Chefchaouen,assets/puzzle-library/world_places/pv-080-chefchaouen/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-081-albert-einstein,81,Albert Einstein,Famous People,famous_people,88,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Albert%20Einstein,assets/puzzle-library/famous_people/pv-081-albert-einstein/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-082-marie-curie,82,Marie Curie,Famous People,famous_people,89,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Marie%20Curie,assets/puzzle-library/famous_people/pv-082-marie-curie/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-083-isaac-newton,83,Isaac Newton,Famous People,famous_people,90,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Isaac%20Newton,assets/puzzle-library/famous_people/pv-083-isaac-newton/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-084-charles-darwin,84,Charles Darwin,Famous People,famous_people,91,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Charles%20Darwin,assets/puzzle-library/famous_people/pv-084-charles-darwin/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-085-ada-lovelace,85,Ada Lovelace,Famous People,famous_people,92,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Ada%20Lovelace,assets/puzzle-library/famous_people/pv-085-ada-lovelace/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-086-nikola-tesla,86,Nikola Tesla,Famous People,famous_people,93,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Nikola%20Tesla,assets/puzzle-library/famous_people/pv-086-nikola-tesla/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-087-leonardo-da-vinci,87,Leonardo da Vinci,Famous People,famous_people,94,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Leonardo%20da%20Vinci,assets/puzzle-library/famous_people/pv-087-leonardo-da-vinci/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-088-galileo-galilei,88,Galileo Galilei,Famous People,famous_people,95,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Galileo%20Galilei,assets/puzzle-library/famous_people/pv-088-galileo-galilei/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-089-katherine-johnson,89,Katherine Johnson,Famous People,famous_people,96,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Katherine%20Johnson,assets/puzzle-library/famous_people/pv-089-katherine-johnson/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-090-rosalind-franklin,90,Rosalind Franklin,Famous People,famous_people,97,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Rosalind%20Franklin,assets/puzzle-library/famous_people/pv-090-rosalind-franklin/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-091-alan-turing,91,Alan Turing,Famous People,famous_people,98,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Alan%20Turing,assets/puzzle-library/famous_people/pv-091-alan-turing/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-092-srinivasa-ramanujan,92,Srinivasa Ramanujan,Famous People,famous_people,99,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Srinivasa%20Ramanujan,assets/puzzle-library/famous_people/pv-092-srinivasa-ramanujan/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-093-c-v-raman,93,C V Raman,Famous People,famous_people,100,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=C%20V%20Raman,assets/puzzle-library/famous_people/pv-093-c-v-raman/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-094-a-p-j-abdul-kalam,94,A P J Abdul Kalam,Famous People,famous_people,101,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=A%20P%20J%20Abdul%20Kalam,assets/puzzle-library/famous_people/pv-094-a-p-j-abdul-kalam/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-095-homi-j-bhabha,95,Homi J Bhabha,Famous People,famous_people,102,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Homi%20J%20Bhabha,assets/puzzle-library/famous_people/pv-095-homi-j-bhabha/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-096-jagadish-chandra-bose,96,Jagadish Chandra Bose,Famous People,famous_people,103,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Jagadish%20Chandra%20Bose,assets/puzzle-library/famous_people/pv-096-jagadish-chandra-bose/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-097-m-s-swaminathan,97,M S Swaminathan,Famous People,famous_people,104,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=M%20S%20Swaminathan,assets/puzzle-library/famous_people/pv-097-m-s-swaminathan/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-098-vikram-sarabhai,98,Vikram Sarabhai,Famous People,famous_people,105,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Vikram%20Sarabhai,assets/puzzle-library/famous_people/pv-098-vikram-sarabhai/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-099-stephen-hawking,99,Stephen Hawking,Famous People,famous_people,106,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Stephen%20Hawking,assets/puzzle-library/famous_people/pv-099-stephen-hawking/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-100-jane-goodall,100,Jane Goodall,Famous People,famous_people,108,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Jane%20Goodall,assets/puzzle-library/famous_people/pv-100-jane-goodall/image.jpg,pending-download-check,Pending asset download and attribution verification
pv-101-carl-sagan,101,Carl Sagan,Famous People,famous_people,109,Hard,Wikimedia Commons,https://commons.wikimedia.org/w/index.php?search=Carl%20Sagan,assets/puzzle-library/famous_people/pv-101-carl-sagan/image.jpg,pending-download-check,Pending asset download and attribution verification
